<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;1;20260505;141400;32678;32678;32678;32678;7
SBRF;1;20260505;141500;32675;32702;32672;32694;348
SBRF;1;20260505;141600;32694;32697;32685;32697;52
SBRF;1;20260505;141700;32696;32696;32696;32696;7
SBRF;1;20260505;141800;32696;32696;32666;32671;186
SBRF;1;20260505;141900;32669;32688;32669;32688;64
SBRF;1;20260505;142000;32695;32705;32695;32701;175
SBRF;1;20260505;142100;32702;32702;32692;32692;56
SBRF;1;20260505;142200;32680;32680;32679;32679;6
SBRF;1;20260505;142300;32675;32675;32671;32671;5
SBRF;1;20260505;142400;32671;32671;32670;32670;10
SBRF;1;20260505;142500;32665;32671;32665;32671;47
SBRF;1;20260505;142600;32670;32671;32660;32660;54
SBRF;1;20260505;142700;32660;32665;32660;32664;33
SBRF;1;20260505;142800;32665;32665;32657;32664;18
SBRF;1;20260505;142900;32664;32664;32664;32664;6
SBRF;1;20260505;143000;32659;32669;32659;32660;55
SBRF;1;20260505;143100;32658;32658;32625;32640;235
SBRF;1;20260505;143200;32640;32670;32640;32670;116
SBRF;1;20260505;143300;32671;32671;32671;32671;9
SBRF;1;20260505;143400;32670;32670;32670;32670;14
SBRF;1;20260505;143600;32659;32666;32659;32666;50
SBRF;1;20260505;143700;32666;32673;32666;32673;24
SBRF;1;20260505;143800;32674;32690;32674;32690;63
SBRF;1;20260505;143900;32689;32692;32689;32692;19
SBRF;1;20260505;144000;32692;32692;32673;32673;50
SBRF;1;20260505;144100;32672;32672;32672;32672;3
SBRF;1;20260505;144200;32672;32672;32672;32672;9
SBRF;1;20260505;144300;32672;32672;32672;32672;6
SBRF;1;20260505;144400;32672;32680;32672;32678;24
SBRF;1;20260505;144500;32679;32679;32677;32677;5
SBRF;1;20260505;144600;32665;32665;32654;32654;6
SBRF;1;20260505;144700;32653;32653;32643;32646;12
SBRF;1;20260505;144800;32646;32646;32643;32646;25
SBRF;1;20260505;144900;32645;32645;32644;32644;21
SBRF;1;20260505;145000;32644;32644;32644;32644;5
SBRF;1;20260505;145100;32644;32649;32644;32649;27
SBRF;1;20260505;145200;32649;32654;32649;32653;15
SBRF;1;20260505;145400;32653;32664;32653;32664;27
SBRF;1;20260505;145500;32664;32673;32664;32673;20
SBRF;1;20260505;145600;32670;32671;32668;32668;10
SBRF;1;20260505;145700;32667;32667;32666;32666;7
SBRF;1;20260505;145800;32665;32665;32661;32661;18
SBRF;1;20260505;145900;32657;32657;32655;32655;2
SBRF;1;20260505;150000;32655;32695;32655;32687;307
SBRF;1;20260505;150100;32693;32700;32691;32691;55
SBRF;1;20260505;150200;32691;32700;32691;32700;22
SBRF;1;20260505;150300;32699;32700;32698;32700;56
SBRF;1;20260505;150400;32700;32714;32700;32708;301
SBRF;1;20260505;150500;32708;32719;32703;32706;47
SBRF;1;20260505;150600;32706;32720;32689;32720;141
SBRF;1;20260505;150700;32725;32745;32725;32745;93
SBRF;1;20260505;150800;32745;32750;32741;32742;191
SBRF;1;20260505;150900;32748;32748;32708;32708;131
SBRF;1;20260505;151000;32707;32748;32703;32734;420
SBRF;1;20260505;151100;32735;32735;32722;32722;47
SBRF;1;20260505;151200;32722;32741;32722;32741;26
SBRF;1;20260505;151300;32743;32745;32736;32736;43
SBRF;1;20260505;151400;32746;32749;32740;32747;82
SBRF;1;20260505;151500;32747;32750;32737;32750;47
SBRF;1;20260505;151600;32750;32766;32750;32765;444
SBRF;1;20260505;151700;32765;32765;32764;32765;36
SBRF;1;20260505;151800;32765;32765;32739;32739;124
SBRF;1;20260505;151900;32739;32740;32728;32735;147
SBRF;1;20260505;152000;32732;32738;32730;32738;19
SBRF;1;20260505;152100;32737;32739;32737;32738;32
SBRF;1;20260505;152200;32738;32738;32725;32726;83
SBRF;1;20260505;152300;32725;32727;32725;32727;12
SBRF;1;20260505;152400;32726;32727;32726;32726;12
SBRF;1;20260505;152500;32726;32729;32726;32729;22
SBRF;1;20260505;152600;32729;32729;32728;32728;13
SBRF;1;20260505;152700;32730;32731;32730;32731;10
SBRF;1;20260505;152800;32731;32733;32731;32733;12
SBRF;1;20260505;152900;32735;32737;32722;32724;38
SBRF;1;20260505;153000;32724;32738;32724;32738;42
SBRF;1;20260505;153100;32736;32736;32725;32725;42
SBRF;1;20260505;153200;32727;32728;32724;32724;27
SBRF;1;20260505;153300;32729;32734;32729;32731;24
SBRF;1;20260505;153400;32728;32730;32713;32713;38
SBRF;1;20260505;153500;32715;32721;32715;32721;7
SBRF;1;20260505;153600;32721;32725;32721;32725;6
SBRF;1;20260505;153700;32725;32726;32725;32726;13
SBRF;1;20260505;153800;32726;32728;32717;32717;53
SBRF;1;20260505;153900;32724;32724;32702;32706;90
SBRF;1;20260505;154000;32707;32723;32707;32723;109
SBRF;1;20260505;154100;32723;32723;32715;32716;57
SBRF;1;20260505;154200;32720;32721;32720;32721;11
SBRF;1;20260505;154300;32724;32724;32701;32701;40
SBRF;1;20260505;154400;32701;32701;32691;32696;105
SBRF;1;20260505;154500;32697;32697;32685;32694;140
SBRF;1;20260505;154600;32694;32704;32694;32704;64
SBRF;1;20260505;154700;32704;32712;32704;32712;16
SBRF;1;20260505;154800;32713;32724;32713;32724;29
SBRF;1;20260505;154900;32723;32724;32723;32724;8
SBRF;1;20260505;155000;32724;32734;32723;32725;117
SBRF;1;20260505;155100;32726;32728;32726;32727;35
SBRF;1;20260505;155200;32730;32734;32730;32734;9
SBRF;1;20260505;155300;32734;32737;32733;32733;61
SBRF;1;20260505;155400;32725;32728;32725;32728;5
SBRF;1;20260505;155500;32729;32734;32729;32731;30
SBRF;1;20260505;155600;32734;32736;32734;32736;28
SBRF;1;20260505;155700;32736;32736;32731;32731;20
SBRF;1;20260505;155800;32727;32727;32726;32726;4
SBRF;1;20260505;155900;32726;32728;32711;32728;164
SBRF;1;20260505;160000;32728;32739;32727;32739;137
SBRF;1;20260505;160100;32738;32740;32738;32738;93
SBRF;1;20260505;160200;32739;32739;32739;32739;22
SBRF;1;20260505;160300;32737;32737;32729;32729;13
SBRF;1;20260505;160400;32729;32729;32728;32728;5
SBRF;1;20260505;160500;32729;32740;32729;32740;32
SBRF;1;20260505;160600;32740;32744;32740;32744;44
SBRF;1;20260505;160700;32744;32750;32744;32749;59
SBRF;1;20260505;160800;32750;32750;32749;32750;44
SBRF;1;20260505;160900;32750;32750;32747;32747;68
SBRF;1;20260505;161000;32747;32747;32690;32706;259
SBRF;1;20260505;161100;32707;32725;32707;32725;49
SBRF;1;20260505;161200;32728;32757;32728;32750;624
SBRF;1;20260505;161300;32749;32749;32743;32743;59
SBRF;1;20260505;161400;32743;32743;32733;32733;35
SBRF;1;20260505;161500;32721;32721;32718;32720;41
SBRF;1;20260505;161600;32724;32730;32723;32724;58
SBRF;1;20260505;161700;32724;32724;32723;32723;10
SBRF;1;20260505;161800;32723;32724;32722;32723;26
SBRF;1;20260505;161900;32722;32725;32719;32721;40
SBRF;1;20260505;162000;32720;32720;32704;32704;78
SBRF;1;20260505;162100;32704;32714;32704;32711;29
SBRF;1;20260505;162200;32724;32734;32724;32727;93
SBRF;1;20260505;162300;32732;32734;32727;32727;29
SBRF;1;20260505;162400;32724;32732;32721;32732;72
SBRF;1;20260505;162500;32730;32732;32727;32727;68
SBRF;1;20260505;162600;32727;32727;32727;32727;20
SBRF;1;20260505;162700;32727;32736;32727;32734;48
SBRF;1;20260505;162800;32732;32735;32732;32735;19
SBRF;1;20260505;162900;32735;32735;32734;32735;7
SBRF;1;20260505;163000;32734;32734;32724;32733;30
SBRF;1;20260505;163100;32729;32741;32729;32740;95
SBRF;1;20260505;163200;32739;32739;32732;32736;26
SBRF;1;20260505;163300;32737;32737;32736;32736;5
SBRF;1;20260505;163400;32735;32736;32734;32735;13
SBRF;1;20260505;163500;32735;32735;32729;32729;9
SBRF;1;20260505;163600;32733;32736;32733;32736;9
SBRF;1;20260505;163700;32735;32736;32733;32736;23
SBRF;1;20260505;163800;32734;32736;32732;32733;7
SBRF;1;20260505;163900;32733;32733;32726;32731;53
SBRF;1;20260505;164000;32732;32732;32715;32715;153
SBRF;1;20260505;164100;32721;32729;32721;32729;23
SBRF;1;20260505;164200;32723;32750;32723;32747;194
SBRF;1;20260505;164300;32747;32748;32744;32745;34
SBRF;1;20260505;164400;32744;32747;32743;32746;19
SBRF;1;20260505;164500;32744;32747;32743;32747;54
SBRF;1;20260505;164600;32747;32749;32746;32749;25
SBRF;1;20260505;164700;32749;32750;32749;32750;5
SBRF;1;20260505;164800;32750;32776;32750;32776;301
